Country,Number,latitude,longitude
Albania,119,41.153332,20.168331
Algeria,352,28.033886,1.659626
Andorra,5,42.546245,1.601554
Angola,43,-11.202692,17.873887
Antigua & Barbuda,15,17.060816,-61.796428
Argentina,1700,-38.416097,-63.616672
Armenia,18,40.069099,45.038189
Australia,350,-25.274398,133.775136
Austria,341,47.516231,14.550072
Azerbaijan,14,40.143105,47.576927
Barbados,11,13.193887,-59.543198
Belarus,22,53.709807,27.953389
Belgium,469,50.503887,4.469936
Benin,56,9.30769,2.315834
Bermuda,12,32.321384,-64.75737
Bolivia,17,-16.290154,-63.588653
Bosnia-Herzegovina,324,43.915886,17.679076
Brazil,2075,-14.235004,-51.92528
Bulgaria,124,42.733883,25.48583
Burkina Faso,77,12.238333,-1.561593
Burundi,4,-3.373056,29.918886
Cambodia,2,12.565679,104.990963
Cameroon,439,7.369722,12.354722
Canada,101,56.130366,-106.346771
Cape Verde,43,16.002082,-24.013197
Central Afr. Republic,12,6.611111,20.939444
Chad,26,15.454166,18.732207
Chile,199,-35.675147,-71.542969
China,28,35.86166,104.195397
Colombia,275,4.570868,-74.297333
Comoros,20,-11.875001,43.872219
Congo,118,-0.228021,15.827659
Congo DR,189,-4.038333,21.758664
Costa Rica,39,9.748917,-83.753428
Croatia,670,45.1,15.2
Curaçaoan,12,12.1696,68.99
Cyprus,9,35.126413,33.429859
Czech Republic,433,49.817492,15.472962
Denmark,479,56.26392,9.501785
Dom. Republic,13,18.735693,-70.162651
Ecuador,43,-1.831239,-78.183406
Egypt,52,26.820553,30.802498
Equatorial Guinea,40,1.650801,10.267895
Eritrea,3,15.179384,39.782334
Estonia,12,58.595272,25.013607
Faroe Islands,6,61.892635,-6.911806
Finland,129,61.92411,25.748151
France,1367,46.227638,2.213749
French Guyana,33,3.933889,-53.125782
Gabon,98,-0.803689,11.609444
Gambia,13,13.443182,-15.310139
Georgia,105,42.315407,43.356892
Germany,324,51.165691,10.451526
Ghana,420,7.946527,-1.023194
Gibraltar,7,36.137741,-5.345374
Greece,214,39.074208,21.824312
Grenada,6,12.262776,-61.604171
Guadeloupe,97,16.995971,-62.067641
Guatemala,1,15.783471,-90.230759
Guinea,175,9.945587,-9.696645
Guinea-Bissau,21,11.803749,-15.180413
Guyana,26,4.860416,-58.93018
Haiti,41,18.971187,-72.285215
Honduras,33,15.199999,-86.241905
Hungary,182,47.162494,19.503304
Iceland,103,64.963051,-19.020835
Indonesia,1,-0.789275,113.921327
Iran,32,32.427908,53.688046
Iraq,11,33.223191,43.679291
Ireland,860,53.41291,-8.24389
Israel,69,31.046051,34.851612
Italy,440,41.87194,12.56738
Ivory Coast,546,7.54,5.5471
Jamaica,121,18.109581,-77.297508
Japan,134,36.204824,138.252924
Kazakhstan,11,48.019573,66.923684
Kenya,16,-0.023559,37.906193
Kosovo,22,42.602636,20.902977
Latvia,31,56.879635,24.603189
Lebanon,9,33.854721,35.862285
Liberia,30,6.428055,-9.429499
Libya,2,26.3351,17.228331
Liechtenstein,9,47.166,9.555373
Lithuania,25,55.169438,23.881275
Luxembourg,13,49.815273,6.129583
Macedonia,90,41.608635,21.745275
Madagascar,9,-18.766947,46.869107
Malawi,2,-13.254308,34.301525
Mali,320,17.570692,-3.996166
Malta,1,35.937496,14.375416
Martinique,83,14.641528,-61.024174
Mauritania,29,21.00789,-10.940835
Mauritius,8,-20.348404,57.552152
Mexico,97,23.634501,-102.552784
Moldova,3,47.411631,28.369885
Montenegro,94,42.708678,19.37439
Montserrat,6,16.742498,-62.187366
Morocco,358,31.791702,-7.09262
Mozambique,11,-18.665695,35.529562
Namibia,4,-22.95764,18.49041
Netherlands,880,52.132633,5.291266
New Caledonia,6,-20.904305,165.618042
New Zealand,32,-40.900557,174.885971
Niger,11,17.607789,8.081666
Nigeria,423,9.081999,8.675277
North Korea,2,40.339852,127.510093
Norway,293,60.472024,8.468946
Pakistan,7,30.375321,69.345116
Palestine,2,31.9522,35.2332
Panama,7,8.537981,-80.782127
Paraguay,121,-23.442503,-58.443832
Peru,73,-9.189967,-75.015152
Philippines,20,12.879721,121.774017
Poland,447,51.919438,19.145136
Portugal,711,39.399872,-8.224454
Qatar,8,25.354826,51.183884
Romania,272,45.943161,24.96676
Russia,177,61.52401,105.318756
Rwanda,3,-1.940278,29.873888
San Marino,9,43.94236,12.457777
Saudi Arabia,6,23.885942,45.079162
Senegal,638,14.497401,-14.452362
Serbia,740,44.016521,21.005859
Seychelles,3,-4.679574,55.491977
Sierra Leone,30,8.460555,-11.779889
Slovakia,183,48.669026,19.699024
Slovenia,159,46.151241,14.995463
Somalia,1,5.152149,46.199616
South Africa,97,-30.559482,22.937506
South Korea,70,35.907757,127.766922
Spain,603,40.463667,-3.74922
St. Kitts & Nevis,11,17.3578,62.783
Suriname,2,3.919305,-56.027783
Sweden,346,60.128161,18.643501
Switzerland,527,46.818188,8.227512
Tahiti,3,17.6509,149.426
Tajikistan,2,38.861034,71.276093
Thailand,5,15.870032,100.992541
Togo,127,8.619543,0.824782
Trinidad & Tobago,55,10.691803,-61.222503
Tunisia,208,33.886917,9.537499
Turkey,297,38.963745,35.243322
UA Emirates,1,23.424076,53.847818
Uganda,6,1.373333,32.290275
Ukraine,79,48.379433,31.16558
United Kingdom,87,55.378051,-3.435973
Uruguay,558,-32.522779,-55.765835
USA,318,37.09024,-95.712891
Uzbekistan,2,41.377491,64.585262
Venezuela,80,6.42375,-66.58973
Zambia,11,-13.133897,27.849332
Zimbabwe,18,-19.015438,29.154857